time,open,high,low,close,volume,Dividends,Stock Splits
2025-08-12,233.9202214560127,237.38034815129546,232.37811095979444,232.97567749023438,8101435,0.0,0.0
2025-08-13,234.10336623188985,234.10336623188985,231.43356786106628,232.90821838378906,5820844,0.0,0.0
2025-08-14,234.30578003705884,239.44295251771263,233.64073867053446,237.88156127929688,12857225,0.0,0.0
2025-08-18,239.64535848548027,240.00196889697452,235.9057141669896,236.33944702148438,5789317,0.0,0.0
2025-08-19,236.58040135331547,238.54659713751897,235.92499295404977,238.02613830566406,4090961,0.0,0.0
2025-08-20,236.4261804455338,243.74160572656993,236.4261804455338,241.76576232910156,10099384,0.0,0.0
2025-08-21,243.59704073359595,243.59704073359595,240.58026495468013,240.86941528320312,7607486,0.0,0.0
2025-08-22,242.8838065671094,243.84763119634394,238.65261703304154,239.64535522460938,13572686,0.0,0.0
2025-08-25,241.53445941620683,247.98244857751075,241.53445941620683,244.65724182128906,16391069,0.0,0.0
2025-08-26,243.8476307919132,245.60179867347316,242.21876481812083,242.9127197265625,15797327,0.0,0.0
2025-08-28,242.90307602481874,243.221139902678,240.06942939188718,241.58262634277344,5851451,0.0,0.0
2025-08-29,241.4380775577911,243.94402755887427,239.66464371134924,240.38751220703125,10117017,0.0,0.0
2025-09-01,240.39714881418757,243.8380099652114,240.37786820277304,241.3031463623047,3198345,0.0,0.0
2025-09-02,241.30312092650578,243.99218501688193,240.5706195447378,241.8524932861328,5046939,0.0,0.0
2025-09-03,242.78742009478904,243.26933241312472,240.1079887813865,240.53207397460938,3862765,0.0,0.0
2025-09-04,240.47424823197494,241.28385740180204,235.5972978954681,236.10812377929688,5021036,0.0,0.0
2025-09-05,237.19724983867712,238.37311707627845,232.54197506164175,234.8551483154297,6233782,0.0,0.0
2025-09-08,235.52018364088656,238.05504708592366,233.4383189416955,233.7467498779297,6596932,0.0,0.0
2025-09-09,236.1370204995084,240.81157556354356,236.1370204995084,240.1368865966797,12836972,0.0,0.0
2025-09-10,240.28147277531497,247.86678228493443,240.2332786045466,246.49813842773438,15261331,0.0,0.0
2025-09-11,246.44995580925047,246.44995580925047,243.0476560300271,244.72471618652344,5865301,0.0,0.0
2025-09-12,245.65963564141035,246.64272621209707,241.74650984950006,242.82598876953125,5345794,0.0,0.0
2025-09-15,242.40189244691152,242.68139511631705,240.57063154772504,242.18984985351562,3700703,0.0,0.0
2025-09-16,242.88379333468254,245.29335477649488,241.14890615521847,244.82107543945312,7316998,0.0,0.0
2025-09-17,244.13676684961214,246.25717796509528,243.70304873388994,244.9560089111328,7339871,0.0,0.0
2025-09-18,247.702927053092,250.4016242205289,246.73910243420838,247.6354522705078,10498239,0.0,0.0
2025-09-19,247.7029224504322,248.33905021670643,245.4861229268317,246.62344360351562,10741757,0.0,0.0
2025-09-22,239.5586090738771,242.67175843739852,238.26708762979038,241.2742156982422,15784007,0.0,0.0
2025-09-23,241.16820134485926,242.88380801860566,239.75137795487365,240.59954833984375,8674114,0.0,0.0
