time,open,high,low,close,volume,Dividends,Stock Splits
2025-08-19,2891.1790271854784,2904.429031301108,2891.083153648401,2895.979736328125,2650784,0.0,0.0
2025-08-20,2890.8905988262018,2979.7037075526887,2890.8905988262018,2975.09521484375,4952358,0.0,0.0
2025-08-21,3005.2438266480435,3005.2438266480435,2960.2132701020532,2978.93603515625,3230726,0.0,0.0
2025-08-22,2962.99723898857,2972.310566448256,2928.4321383393194,2932.272705078125,1593791,0.0,0.0
2025-08-25,2964.245782645686,3026.366909314735,2954.4523833109183,3015.42138671875,3448370,0.0,0.0
2025-08-26,3004.283667485289,3035.968346624635,2995.6423913563763,3031.359619140625,5522097,0.0,0.0
2025-08-28,3019.6456977878825,3021.0859103623443,2963.477407383879,2970.390380859375,3116051,0.0,0.0
2025-08-29,2969.7184911417403,2990.841610057071,2954.548204311535,2961.749267578125,2271789,0.0,0.0
2025-09-01,2966.8380558481663,3006.2999761800884,2966.8380558481663,2988.537353515625,1246862,0.0,0.0
2025-09-02,2996.698656186325,3029.247369338668,2979.416103841445,2987.481201171875,2185229,0.0,0.0
2025-09-03,3005.1478080455095,3016.669509959856,2964.9179592917676,2974.039306640625,1799774,0.0,0.0
2025-09-04,2991.8017155695825,2993.7219990840686,2967.6061901689773,2972.310791015625,1481391,0.0,0.0
2025-09-05,2973.655259644998,2979.703965451406,2907.885546409113,2926.80029296875,2802055,0.0,0.0
2025-09-08,2928.432609909376,2942.7386295513115,2895.7877873726816,2898.668212890625,2626187,0.0,0.0
2025-09-09,2911.2459361835313,2938.0337976334035,2909.997705008497,2927.856201171875,2489301,0.0,0.0
2025-09-10,2934.5773210773896,2998.2347696750494,2931.696895660388,2986.041015625,2079428,0.0,0.0
2025-09-11,3013.885194748687,3013.885194748687,2986.137189714118,2999.675048828125,2263446,0.0,0.0
2025-09-12,3018.6861428569423,3023.198762918852,2996.6028790892233,3008.508544921875,1447167,0.0,0.0
2025-09-15,3009.0842164755977,3009.0842164755977,2972.598830315396,2987.864990234375,1732539,0.0,0.0
2025-09-16,3003.3236516831826,3024.4467719955323,2985.1770648150605,3020.318115234375,2573429,0.0,0.0
2025-09-17,3026.366894691811,3055.5551110798156,3017.1494398273812,3046.337890625,2418271,0.0,0.0
2025-09-18,3058.0514988629902,3075.334050504916,3035.392059613066,3050.082275390625,2633138,0.0,0.0
2025-09-19,3043.64975218093,3053.731241896356,3018.6860633617807,3042.881591796875,4901694,0.0,0.0
2025-09-22,2971.6386491648127,2983.0642419680353,2942.8343973150727,2951.28369140625,3634901,0.0,0.0
2025-09-23,2947.6353061603577,2957.9087764692863,2930.352753876681,2940.338134765625,3177741,0.0,0.0
