time,open,high,low,close,volume,Dividends,Stock Splits
2025-08-19,1779.7763016639185,1781.8701317938483,1773.1956405213907,1777.38330078125,37276,0.0,0.0
2025-08-20,1777.3833753107042,1777.3833753107042,1759.8349042904254,1762.2279052734375,36007,0.0,0.0
2025-08-21,1769.70596598285,1769.70596598285,1732.714559577339,1737.4007568359375,41259,0.0,0.0
2025-08-22,1737.400725766456,1745.2776314482721,1719.9519379897483,1724.5384521484375,40643,0.0,0.0
2025-08-25,1724.9372833316581,1726.2335276633255,1681.664265869623,1694.127685546875,95903,0.0,0.0
2025-08-26,1695.025103075123,1695.025103075123,1660.1275274235763,1671.0953369140625,51815,0.0,0.0
2025-08-28,1670.5968176433,1679.0719432475782,1652.150956033989,1658.332763671875,42621,0.0,0.0
2025-08-29,1650.1568012542646,1661.2242938264042,1622.2387405683917,1638.4910888671875,90264,0.0,0.0
2025-09-01,1645.1714365734626,1655.142172552696,1622.2387438212265,1637.4940185546875,54287,0.0,0.0
2025-09-02,1645.9691712411175,1650.3561977737525,1632.2095066779618,1644.07470703125,41228,0.0,0.0
2025-09-03,1652.749200450926,1652.749200450926,1635.1010461445794,1643.576171875,29475,0.0,0.0
2025-09-04,1655.042520114899,1657.0366673475903,1635.3004138260183,1643.07763671875,41136,0.0,0.0
2025-09-05,1640.1860456458433,1645.1714135657394,1630.6141635822594,1644.4735107421875,27679,0.0,0.0
2025-09-08,1645.1714382243788,1653.1480270157697,1630.2153342405209,1636.9954833984375,26373,0.0,0.0
2025-09-09,1637.3941892972634,1653.1480005937035,1630.0159421536212,1644.9720458984375,52004,0.0,0.0
2025-09-10,1652.150904963709,1653.7461983325845,1638.5907287586451,1644.17431640625,33574,0.0,0.0
2025-09-11,1650.1568433599916,1650.1568433599916,1635.0013730004707,1640.5849609375,29107,0.0,0.0
2025-09-12,1645.071778424558,1645.17146144324,1626.326745815,1630.0159912109375,31202,0.0,0.0
2025-09-15,1640.086365894793,1647.0658809965412,1626.0276526753175,1643.4764404296875,28783,0.0,0.0
2025-09-16,1643.4764463493489,1646.0688133395759,1628.7197085386956,1634.20361328125,33668,0.0,0.0
2025-09-17,1638.6904117729969,1645.1713899759325,1633.3061901540955,1644.17431640625,32255,0.0,0.0
2025-09-18,1645.1714603623666,1661.1246381598198,1634.2036506266174,1645.07177734375,49885,0.0,0.0
2025-09-19,1645.1713745034544,1654.4442072995244,1635.2006389004032,1641.3824462890625,80354,0.0,0.0
2025-09-22,1642.7783862136841,1642.7783862136841,1626.2269893283117,1630.1156005859375,21998,0.0,0.0
2025-09-23,1638.6903917443203,1638.6903917443203,1619.2474573731524,1627.822265625,25463,0.0,0.0
2025-09-24,1628.0217501209409,1644.77251282565,1617.751843813962,1628.8193359375,24813,0.0,0.0
2025-09-25,1633.3062036772942,1639.9866696773274,1597.3118718563562,1625.1302490234375,51637,0.0,0.0
2025-09-26,1625.1302483009433,1629.5173963845357,1610.2738276536581,1617.8515625,60944,0.0,0.0
2025-09-29,1617.253363880836,1644.1743508258317,1595.4174279050562,1633.705078125,37136,0.0,0.0
2025-09-30,1628.919065461644,1647.1655607336977,1597.311881534736,1644.4735107421875,86367,0.0,0.0
