time,open,high,low,close,volume,Dividends,Stock Splits
2025-08-12,339.9005068400316,343.6193307660713,317.63713549726043,326.7110900878906,5392512,0.0,0.0
2025-08-13,320.46344374959665,331.0744999921859,313.86873545551623,323.5872497558594,9107823,0.0,0.0
2025-08-14,326.760679292463,331.07452132375624,319.3230310536361,321.40557861328125,5292079,0.0,0.0
2025-08-18,327.2565308844877,328.000295727407,319.8684546726085,321.1080627441406,4633408,0.0,0.0
2025-08-19,322.298100265631,325.7690028838762,318.82719764738573,325.0252380371094,3483785,0.0,0.0
2025-08-20,326.1160953024859,329.2399015688139,321.80225319000033,328.04986572265625,4059829,0.0,0.0
2025-08-21,328.96696533624635,333.3531854563205,326.0760496040642,327.6211853027344,5454040,1.72,0.0
2025-08-22,326.77385156866325,326.77385156866325,322.0885825748926,322.7365417480469,3877289,0.0,0.0
2025-08-25,324.4312196117867,325.92652399391744,319.99513777598054,320.6430969238281,2419995,0.0,0.0
2025-08-26,320.64309487421565,321.4406087928149,310.52487470421767,311.72113037109375,5319362,0.0,0.0
2025-08-28,315.01080528934455,317.154068924467,306.03897855642015,307.6838073730469,7594499,0.0,0.0
2025-08-29,307.4345718638476,308.03269969523774,300.8053952525501,301.6527404785156,4853561,0.0,0.0
2025-09-01,302.0016734047683,316.5061146803562,300.65589328943446,314.7117614746094,5644181,0.0,0.0
2025-09-02,317.0045374952375,338.4372342126828,315.0107982657077,330.8111877441406,20277592,0.0,0.0
2025-09-03,330.96071468408974,336.39366629576466,327.57136405185474,333.5525817871094,9498144,0.0,0.0
2025-09-04,332.9046317384497,333.9513327019803,324.1321605664827,325.9265441894531,6377015,0.0,0.0
2025-09-05,325.67730582102286,330.01366418123496,324.0324466669612,328.36883544921875,4541584,0.0,0.0
2025-09-08,329.81431516260756,336.1444432438327,328.0199316189439,331.16009521484375,4123272,0.0,0.0
2025-09-09,332.1569805283146,334.7986790241952,328.46855064361887,331.3594665527344,3863086,0.0,0.0
2025-09-10,332.30649591783254,338.4870693459221,331.6585367453295,332.40618896484375,5814933,0.0,0.0
2025-09-11,336.74255911133025,336.84225216177896,330.56198547013344,334.1008605957031,6896258,0.0,0.0
2025-09-12,334.3500658228021,338.83597913103836,333.3531961987496,337.0416259765625,5594449,0.0,0.0
2025-09-15,338.9356593660007,354.38713795474484,338.2378384867231,346.1629638671875,18797234,0.0,0.0
2025-09-16,347.55859668256926,355.58341560200785,343.2720693650896,353.7890319824219,10201112,0.0,0.0
2025-09-17,354.88560052387385,368.69225146012514,354.48685874252624,359.6705627441406,17573057,0.0,0.0
2025-09-18,361.7141448236334,363.55835969037025,355.2344923451851,361.365234375,7379618,0.0,0.0
2025-09-19,360.76712016658445,366.5489823884666,360.01946792925855,362.3122863769531,6433354,0.0,0.0
2025-09-22,361.31539455050734,366.8480085983214,356.08182921044977,357.7764892578125,5537194,0.0,0.0
2025-09-23,360.8668111700137,363.85742010236186,353.44012015253014,356.4805908203125,6674464,0.0,0.0
2025-09-24,355.732918930892,355.83261197420444,345.9137473945063,346.56170654296875,3858578,0.0,0.0
2025-09-25,344.5181410556793,354.78588580296065,343.92001320916717,345.46514892578125,4137205,0.0,0.0
2025-09-26,345.8639352948742,346.6115875281774,335.4964666554322,336.7425537109375,3434829,0.0,0.0
2025-09-29,338.93567655457656,347.25954410731157,337.93880691765133,340.58050537109375,3972955,0.0,0.0
2025-09-30,342.22534453486173,342.8234724195108,334.99803944863487,338.3874206542969,4677413,0.0,0.0
2025-10-01,337.98864073262394,344.667679518283,337.4902059104717,343.3218994140625,3430563,0.0,0.0
2025-10-03,343.1723697372894,346.6115821256975,341.42784788677307,345.9635925292969,3140339,0.0,0.0
2025-10-06,346.21280512571985,348.7049791632561,342.47454406941546,345.5150146484375,2559353,0.0,0.0
