time,open,high,low,close,volume,Dividends,Stock Splits
2025-08-19,1381.2092603896435,1397.309139357621,1381.2092603896435,1388.2469482421875,3986094,0.0,0.0
2025-08-20,1388.921654258322,1445.1264179190935,1388.921654258322,1442.427001953125,10413061,0.0,0.0
2025-08-21,1453.802949118853,1453.802949118853,1430.9547668193538,1442.619873046875,6565539,0.0,0.0
2025-08-22,1444.258688328196,1450.2359327005538,1432.6899649169563,1434.0396728515625,5543397,0.0,0.0
2025-08-25,1452.549588321255,1483.6887826854402,1452.549588321255,1477.0367431640625,10694531,0.0,0.0
2025-08-26,1468.2638125760993,1483.1103644867733,1464.021923789744,1474.6265869140625,15994798,0.0,0.0
2025-08-28,1474.6266696224122,1474.6266696224122,1444.162386475055,1446.1868896484375,5443364,0.0,0.0
2025-08-29,1447.922152992462,1447.922152992462,1414.951220922169,1416.782958984375,8169075,0.0,0.0
2025-09-01,1423.6278448203498,1449.368326287933,1423.1458146544753,1445.5120849609375,4546057,0.0,0.0
2025-09-02,1445.5120710387366,1458.4305028963795,1432.8829043510907,1444.837158203125,5218763,0.0,0.0
2025-09-03,1446.0904115917858,1447.9221496497632,1420.0607841831338,1425.9415283203125,4623483,0.0,0.0
2025-09-04,1430.665555379037,1430.665555379037,1407.6244895421655,1410.4202880859375,5787724,0.0,0.0
2025-09-05,1417.1685500698275,1419.771465639559,1381.4983212585462,1392.681396484375,5466487,0.0,0.0
2025-09-08,1398.8515684147906,1405.5999908675153,1376.967445534214,1381.402099609375,3811567,0.0,0.0
2025-09-09,1427.7733097648295,1453.0316426482493,1419.5787971834648,1450.2359619140625,13072640,0.0,0.0
2025-09-10,1455.8274419814547,1479.7361846012639,1455.056264347903,1477.518798828125,7281071,0.0,0.0
2025-09-11,1469.1314991861996,1472.6020926929066,1452.3568266067848,1455.4417724609375,8003662,0.0,0.0
2025-09-12,1481.7606968153777,1487.4486761823323,1466.4321143461764,1470.7703857421875,12856963,0.0,0.0
2025-09-15,1470.7703889313757,1472.6021270614033,1447.2472937742573,1454.1885986328125,6167414,0.0,0.0
2025-09-16,1454.18869843609,1459.5874130189484,1449.4647790449067,1456.9844970703125,8923112,0.0,0.0
2025-09-17,1462.3832147820146,1471.830935901443,1459.58741614181,1467.685546875,4795698,0.0,0.0
2025-09-18,1494.2935138953433,1499.1138155530703,1483.2068200825713,1485.2313232421875,9331945,0.0,0.0
2025-09-19,1489.0875921991392,1495.546867150236,1465.4681136380061,1484.845703125,12988129,0.0,0.0
2025-09-22,1429.4121385641438,1460.2620677071914,1428.7373434373958,1445.6083984375,15655204,0.0,0.0
2025-09-23,1439.3420265057648,1458.6232324870878,1439.3420265057648,1443.6802978515625,9832164,0.0,0.0
2025-09-24,1433.7504516255494,1442.909024606748,1429.4121802134027,1440.884521484375,4937004,0.0,0.0
2025-09-25,1435.4857737282794,1448.6933526456728,1423.4350200871756,1431.436767578125,9491867,0.0,0.0
2025-09-26,1421.9889772759154,1425.555953399892,1389.4036912657584,1396.8270263671875,8597058,0.0,0.0
2025-09-29,1407.5280279964163,1412.3483294621576,1384.872611107433,1389.982177734375,10513117,0.0,0.0
2025-09-30,1391.1390030128964,1400.0083106366037,1386.4150840398418,1389.982177734375,7556305,0.0,0.0
2025-10-01,1394.031143886091,1397.405354815276,1376.099646484765,1393.83837890625,6250692,0.0,0.0
2025-10-03,1387.282784330546,1396.2485922754322,1381.6911874663804,1394.609619140625,6877533,0.0,0.0
